trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063002019,77102.0,84155,37283,NaN,NaN,NaN,NaN,NaN,NaN,78680.54128203806,85877.94028157392,38046.31035016244,,,,,,,447344.0,30000.0,685000.0,454750.0,155582.03382781698,87679500.0,196.0,456502.6595843432,30614.20246506111,699024.2896188953,464060.2856995513,89474598.83451085,5.898031179476537
37063002020,123225.0,125817,122639,NaN,128750,NaN,NaN,NaN,71190,125747.8366252385,128392.90371821978,125149.83920375431,,131385.95224588725,,,,72647.50244959001,510623.0,5000.0,4150000.0,389000.0,514780.6023890178,383478153.0,751.0,521077.19684389664,5102.367077510185,4234964.674333453,396964.1586302924,391329260.5623227,3.156826942584703
37063002021,66772.0,73264,54696,NaN,NaN,NaN,NaN,56172,NaN,68139.05089990201,74763.96431334123,55815.81393429941,,,,,57322.03269558042,,273108.0,80000.0,450000.0,278500.0,60839.52367499273,28949500.0,106.0,278699.4535609303,81637.87324016295,459213.03697591665,284201.8462173173,29542195.14207622,4.17090996225963
37063002022,61323.0,76250,50867,NaN,NaN,NaN,NaN,100114,55188,62578.49125883141,77811.09793203032,51908.421226342114,,,,,102163.67551957093,56317.886854726414,233133.0,5000.0,425500.0,230000.0,50514.602007736336,40332075.0,173.0,237906.02877623637,5102.367077510185,434211.4382961167,234708.8855654685,41157810.329534315,3.750631899939664
37063002023,69238.0,79569,52250,NaN,NaN,NaN,31406,NaN,62361,70655.53834253004,81198.04919808159,53319.73595998143,,,,32048.988087256974,,63637.742664122525,258710.0,25000.0,375000.0,257500.0,52999.339580791006,26647172.0,103.0,264006.677324532,25511.835387550924,382677.53081326385,262771.9044917745,27192730.624310244,3.719056009705653
37063002024,82101.0,83726,68750,NaN,82072,NaN,NaN,NaN,76346,83781.88788613274,85440.15718632354,70157.54731576504,,83752.29415708318,,,,77909.06337991852,306378.0,29000.0,1346000.0,260000.0,199316.93639778835,125308667.0,409.0,312650.6040946831,29593.72904955907,1373557.2172657417,265323.0880305296,127874163.40549739,3.166831098281385
37063002025,81420.0,83450,73207,NaN,120761,NaN,NaN,63750,NaN,83086.94549017584,85158.50652364499,74705.79732865762,,123233.39012944148,,,65055.180238254856,,204576.0,500.0,370000.0,217000.0,58388.035092816746,67305600.0,329.0,208764.3694497447,510.23670775101846,377575.1637357537,221442.73116394202,68683575.5144139,2.665192827315156
37063002026,40620.0,64333,35455,NaN,NaN,NaN,NaN,68882,82332,41451.630137692744,65650.11623949255,36180.88494662472,,,,,70292.2498066113,84017.61724511371,159380.0,10000.0,391500.0,144000.0,79137.01822156303,21197629.0,133.0,162643.05296271466,10204.73415502037,399515.34216904745,146948.17183229333,21631616.86617503,3.5450516986706058
37063002027,47284.0,64688,36122,NaN,86515,NaN,NaN,47964,47536,48252.06497859832,66012.38430199577,36861.54071476458,,88286.25754215872,,,48945.9869011397,48509.22427930483,576836.0,20000.0,2760000.0,243000.0,879393.8365385557,208814761.0,362.0,588645.803104533,20409.46831004074,2816506.626785622,247975.03996699498,213089912.36491156,5.139159123593605
37063002028,66845.0,76897,57895,NaN,75197,NaN,124145,NaN,173068,68213.54545923366,78471.34423186013,59080.30839049043,,76736.53942550668,,126686.67216750038,,176611.29307410654,297323.0,6000.0,627500.0,295000.0,106429.49826528358,164419764.0,553.0,303410.21731731214,6122.8404930122215,640347.0682275282,301039.6575731009,167785998.14511886,4.413194704166355
