id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,stddevsp9800,stddevsp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630018023,62842.00,92112.41,8500.00,12459.11,105000.00,153906.67,69500.00,101871.56,28062.41,41133.26,3770575.00,5526825.04,60.00,26700.00,39136.27,2.60,19.40,36.00,710,32.25,54.65,0.00,0.00,0.00,0.00,0.70,12.39,71040.16,1349763.00,19.00,72386.52,13608665.00,188.00,9.18
370630004013,137278.00,201219.04,15500.00,22719.56,368000.00,539406.22,135000.00,197880.00,65486.16,95988.16,8374000.00,12274423.11,61.00,46625.00,68341.89,2.90,21.80,17.80,668,80.99,12.57,0.75,2.54,0.00,0.00,3.14,0.00,111870.13,894961.00,8.00,152806.45,25060258.00,164.00,4.65
370630003011,72045.00,105601.96,10500.00,15390.67,140000.00,205208.89,71000.00,104070.22,29130.46,42698.78,2377500.00,3484886.67,33.00,28083.00,41163.44,2.53,25.40,21.50,1027,30.96,48.78,0.00,0.00,0.68,1.17,4.28,14.12,65615.60,1312312.00,20.00,82183.88,9204595.00,112.00,15.15
370630004021,95671.00,140232.43,25000.00,36644.44,157000.00,230127.11,93750.00,137416.67,33280.70,48782.11,6123000.00,8974957.33,64.00,26781.00,39254.99,3.50,29.60,22.50,1433,67.97,15.70,0.42,0.00,0.00,0.49,4.26,11.16,70815.05,1345486.00,19.00,93083.90,20013038.00,215.00,8.12
370630020171,214602.00,314558.84,12000.00,17589.33,657000.00,963016.00,207000.00,303416.00,90947.92,133309.44,43993500.00,64484694.67,205.00,82212.00,120504.52,2.52,35.30,16.80,3782,83.98,6.82,0.00,4.79,0.00,0.37,2.91,1.14,208240.87,6455467.00,31.00,236469.28,222281122.00,940.00,3.19
370630020152,139730.00,204813.13,10000.00,14657.78,330000.00,483706.67,127750.00,187253.11,59351.02,86995.41,7266000.00,10650341.33,52.00,30291.00,44399.87,4.22,27.70,18.60,2224,41.59,36.65,0.00,9.08,0.00,0.00,0.00,12.68,274419.75,1097679.00,4.00,200394.18,15430352.00,77.00,4.94
370630004012,143894.00,210916.63,16000.00,23452.44,240000.00,351786.67,150500.00,220599.56,39843.35,58401.49,10216500.00,14975118.67,71.00,50263.00,73674.39,2.99,27.20,16.20,963,92.52,3.95,0.00,3.22,0.00,0.00,0.00,0.31,126976.88,1015815.00,8.00,146543.84,47919835.00,327.00,2.39
370630015022,73125.00,107185.00,62000.00,90878.22,81500.00,119460.89,74500.00,109200.44,8370.33,12269.05,292500.00,428740.00,4.00,20680.00,30312.28,3.60,27.30,27.50,2759,23.52,37.22,0.62,17.11,0.51,0.00,2.46,18.56,93813.00,375252.00,4.00,67801.00,610209.00,9.00,30.77
370630018012,94936.00,139155.08,15000.00,21986.67,162000.00,237456.00,104000.00,152440.89,37408.38,54832.38,4462000.00,6540300.44,47.00,42404.00,62154.84,2.45,32.60,22.30,649,49.61,48.54,0.00,0.00,0.00,0.00,0.00,1.85,80546.04,2013651.00,25.00,104212.24,20425600.00,196.00,11.31
370630003021,135119.00,198054.43,2000.00,2931.56,335000.00,491035.56,130000.00,190551.11,53391.22,78259.66,9053000.00,13269686.22,67.00,56010.00,82098.21,2.32,27.90,15.30,743,75.24,18.71,0.00,2.69,0.00,0.00,0.00,3.36,119399.60,596998.00,5.00,143596.75,40637879.00,283.00,1.74
370630002001,92604.00,135736.89,17500.00,25651.11,167000.00,244784.89,94000.00,137783.11,36162.10,53005.60,3982000.00,5836727.11,43.00,36250.00,53134.44,2.59,27.20,20.00,772,38.99,52.20,0.00,0.00,0.00,0.00,1.94,6.87,88249.91,970749.00,11.00,105183.02,17144833.00,163.00,6.32
370630003013,113465.00,166314.48,15000.00,21986.67,410500.00,601701.78,80000.00,117262.22,86662.32,127027.71,3517442.00,5155788.32,31.00,27708.00,40613.77,2.89,25.00,22.20,592,44.93,51.52,0.00,0.84,0.00,0.00,0.00,2.70,79401.33,714612.00,9.00,117864.14,7543305.00,64.00,12.33
370630003022,130188.00,190826.68,12500.00,18322.22,280000.00,410417.78,122000.00,178824.89,46227.73,67759.58,5858500.00,8587259.11,45.00,29917.00,43851.67,4.08,31.40,19.80,1084,47.05,42.34,0.00,0.55,0.00,0.00,0.00,10.05,100756.19,1612099.00,16.00,138794.28,22623468.00,163.00,8.94
370630003023,189975.00,278461.13,10300.00,15097.51,525000.00,769533.33,178000.00,260908.44,109384.49,160333.35,10448659.00,15315412.17,55.00,31961.00,46847.72,5.57,30.70,18.80,1700,59.35,20.65,0.00,3.00,0.00,0.00,0.00,17.00,109078.20,1636173.00,15.00,177604.59,33922476.00,191.00,7.28
370630015031,95000.00,139248.89,90000.00,131920.00,100000.00,146577.78,95000.00,139248.89,7071.07,10364.61,190000.00,278497.78,2.00,8750.00,12825.56,10.86,50.00,0.00,1721,67.87,6.68,0.00,15.69,0.00,0.00,3.37,6.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630005001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11151.00,16344.89,NaN,50.00,10.00,1226,60.20,20.96,0.98,12.72,0.00,0.00,2.37,2.77,37483.00,37483.00,1.00,66184.50,529476.00,8.00,11.11
370630010021,67146.00,98421.11,15000.00,21986.67,131000.00,192016.89,71500.00,104803.11,22713.70,33293.24,3894500.00,5708471.56,58.00,24726.00,36242.82,2.89,27.10,18.20,2830,7.81,73.64,0.00,0.00,0.00,0.35,1.98,16.22,67211.77,873753.00,13.00,75967.51,23094123.00,304.00,4.10
370630018021,89572.00,131292.65,10000.00,14657.78,152000.00,222798.22,93500.00,137050.22,31085.94,45565.08,14779388.00,21663298.50,165.00,40477.00,59330.29,2.31,23.20,20.90,3938,17.45,57.34,0.00,0.97,0.00,0.33,2.06,21.86,81141.71,2758818.00,34.00,99648.90,69654581.00,699.00,4.64
370630005002,78236.00,114676.59,47000.00,68891.56,200000.00,293155.56,80000.00,117262.22,34863.77,51102.54,1486500.00,2178878.67,19.00,26688.00,39118.68,3.00,27.00,21.00,734,27.93,54.22,0.00,4.77,0.00,1.09,1.77,10.22,62160.76,1056733.00,17.00,86901.06,5387866.00,62.00,21.52
370630018042,130265.00,190939.54,17000.00,24918.22,313000.00,458788.44,127000.00,186153.78,44506.32,65236.37,36734998.00,53845343.74,282.00,60400.00,88532.98,2.10,24.30,20.50,2455,40.65,52.38,0.73,0.41,0.00,0.85,0.29,4.68,133366.68,4134367.00,31.00,132849.14,111194734.00,837.00,3.57
370630009001,32833.00,48125.88,5000.00,7328.89,75000.00,109933.33,17500.00,25651.11,26822.95,39316.48,591000.00,866274.67,18.00,20086.00,29441.61,0.87,25.40,24.00,900,1.56,55.56,0.00,0.00,0.00,0.67,1.44,40.78,44224.33,796038.00,18.00,52972.43,3549153.00,67.00,21.18
370630009002,41861.00,61358.92,4065.00,5958.39,138000.00,202277.33,36500.00,53500.89,29186.21,42780.50,1590754.00,2331691.86,38.00,18036.00,26436.77,2.02,29.90,35.30,1218,2.05,90.56,0.00,0.00,0.00,0.00,0.00,7.39,53563.73,1606912.00,30.00,57268.38,5784106.00,101.00,22.90
370630010024,49734.00,72898.99,17000.00,24918.22,85000.00,124591.11,46750.00,68525.11,17772.70,26050.83,1989364.00,2915965.54,40.00,23420.00,34328.52,2.00,24.60,23.60,1592,8.17,41.27,0.00,0.00,0.00,0.00,0.88,49.69,51226.30,512263.00,10.00,61813.00,5748609.00,93.00,9.71
370630007001,122800.00,179997.51,17000.00,24918.22,360000.00,527680.00,92500.00,135584.44,90929.88,133283.00,1842000.00,2699962.67,15.00,11197.00,16412.31,8.26,28.70,25.00,764,43.19,53.27,0.78,0.00,0.00,1.96,0.78,0.00,58563.14,409942.00,7.00,124107.03,8439278.00,68.00,9.33
370630008011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218,12.84,87.16,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630006002,168599.00,247128.67,10000.00,14657.78,322000.00,471980.44,163000.00,238921.78,79212.68,116108.19,18714500.00,27431298.22,111.00,47000.00,68891.56,3.47,24.80,13.60,2745,43.46,34.24,0.00,1.17,0.55,0.00,0.95,19.64,141002.20,2820044.00,20.00,213432.22,105222084.00,493.00,3.90
370630010011,55357.00,81141.06,18000.00,26384.00,180000.00,263840.00,55750.00,81717.11,28135.84,41240.89,2325000.00,3407933.33,42.00,27727.00,40641.62,2.01,33.10,22.20,1300,6.39,71.46,0.00,0.00,0.00,0.00,6.00,16.15,65268.50,1044296.00,16.00,66175.61,8139600.00,123.00,11.51
