trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mrent12a17,pcol12,phs12,punemp12,meansp0709,minsp0709,maxsp0709,mediansp0709,stddevsp0709,totsp0709,nums0709,meansp0709a17,minsp0709a17,maxsp0709a17,mediansp0709a17,totsp0709a17,pir0712
37063001801,4122,52840.0,54577,49792,52994,1911,806,3619,435,-999,800,134500,56204.36584513667,52962.29720213939,58051.96205015185,56368.171150589944,-1062.6071438170236,143063.72456795766,850.9366517053243,19.5536147501213,46.36098981077147,12.019894998618403,128696.84,7500.0,413100.0,134250.0,50506.22,21621069.0,168.0,136891.0726433198,7977.531109737415,439402.4135243368,142797.80686429972,22997700.07643723,2.540688872066616
37063001802,4169,41268.0,42375,49871,31956,2082,844,3499,511,-999,614,117600,43895.56717821916,53046.32719649529,45073.050770016394,33990.66455236918,-1062.6071438170236,125087.68780068267,653.0938801838364,20.244662988726315,49.940033581194534,14.604172620748784,95627.53,4500.0,190000.0,102250.0,40624.89,6885182.0,72.0,101716.21273631306,4786.518665842449,202097.45478001452,108760.34079608676,7323567.14682721,2.477706697683435
37063001806,3528,61884.0,66236,56678,42596,1365,1000,2689,198,-999,1083,159300,65824.20469266536,60286.73443169296,70453.30007794233,45308.12202004999,-1062.6071438170236,169442.7607708227,1151.9554922460827,28.34467120181406,38.69047619047619,7.363332093715136,139269.14,1732.0,250000.0,137500.0,54715.71,11280800.0,81.0,148136.51959685006,1842.277850942027,265917.70365791384,146254.73701185262,11999057.725696778,2.2218990369077627
37063001807,5986,57205.0,56542,67563,45104,2417,1670,5302,561,75509,828,138500,60847.288951003844,71864.79124895853,60142.075200903055,47975.80842314618,80316.71954202166,147318.40782648427,880.7194345150107,27.898429669228197,40.37754761109255,10.58091286307054,146001.21,2693.0,290000.0,145000.0,40504.82,25988215.0,178.0,155297.22597790736,2864.465503803048,308464.53624318005,154232.26812159002,27642905.819872607,2.5347434664802027
37063001808,3387,84528.0,83903,71316,135034,691,1628,2707,148,-999,727,219900,89909.96661918456,75856.74781627113,89245.17236003978,143631.72478297094,-1062.6071438170236,233901.21213750102,773.2886822372135,48.066135222911136,20.401535281960438,5.467306981898782,282542.61,16577.0,2740000.0,238000.0,254720.95,48879872.0,173.0,300532.32814685407,17632.47109414895,2914458.0320907356,253153.65388233398,51992093.26933104,2.815635055839485
37063001809,3873,52917.0,36923,58839,44259,1434,1648,3625,246,250001,681,196600,56286.268497863304,62585.32706211197,39273.91748864461,47077.00658478244,265918.76732872846,209117.68215658344,724.3598247641573,42.55099406145107,37.02556158017041,6.786206896551724,181241.54,33000.0,282000.0,200000.0,62828.25,10330768.0,57.0,192781.33649689576,35101.13688284463,299955.1697261268,212734.16292633108,10988536.414330637,3.779503751157473
37063001900,1796,74375.0,82542,73239,34583,556,776,1427,74,-999,719,194300,79110.51683822936,77902.18679280781,87797.5163813261,36784.927782406536,-1062.6071438170236,206671.23928293065,764.7793157201602,43.207126948775056,30.957683741648108,5.185704274702172,195480.4,2559.0,590000.0,165250.0,90305.77,9383059.0,48.0,207926.79631252182,2721.933614642406,627565.7806326767,175771.60211788106,9980486.010266885,2.2218487394957984
37063002007,3921,70746.0,75609,76771,47315,669,2424,2951,64,95217,840,232100,75250.45545193109,81659.07211008681,80423.08662348484,50327.58459429677,101279.54395678233,246877.9960760072,893.4834842905905,61.820964039785764,17.061973986228,2.1687563537783805,219085.11,25000.0,940000.0,208500.0,130213.45,18403149.0,84.0,233034.4374273658,26591.770365791384,999850.5657537561,221775.36485070013,19574892.488617733,2.9471630904927486
37063002008,2148,133594.0,115909,143869,41786,178,1782,1506,58,67159,1088,411700,142100.03880990137,153029.25643024163,123289.02045314055,44446.54866019835,71435.06823984734,437913.2743838525,1157.273846319241,82.9608938547486,8.286778398510242,3.851261620185923,476923.73,60000.0,1500000.0,380000.0,341157.11,28138500.0,59.0,507289.85240626766,63820.24887789932,1595506.221947483,404194.90956002905,29930101.217512835,2.8444391215174334
37063002009,3375,43865.0,44095,-999,27895,1853,653,2468,339,-999,709,113300,46657.92028381756,-1062.6071438170236,46902.56457118284,29671.097374150027,-1062.6071438170236,120513.90329776655,754.1426075738436,19.348148148148148,54.9037037037037,13.73581847649919,74060.98,10000.0,206500.0,70514.0,47027.85,2962439.0,40.0,78776.50292901874,10636.708146316554,219648.02322143683,75003.68382293655,3151059.9044265863,1.6075230821839737
37063002013,3321,71325.0,66875,74699,40962,580,1804,2672,188,22060,839,171700,75866.32085360283,79455.14618217002,71132.98572849196,43570.083908941866,23464.57817077432,182632.27887225524,892.4198134759588,54.32098765432099,17.46461909063535,7.0359281437125745,172395.5,500.0,310000.0,161500.0,52040.63,14826013.0,86.0,183372.06192383156,531.8354073158276,329737.95253581315,171782.83656301233,15769997.325449513,2.2642832106554502
37063002015,3414,39683.0,33065,53793,27042,1094,1411,2880,173,19253,743,170000,42209.64893702798,57218.04413148064,35170.27548579568,28763.786169269224,20478.85419410326,180824.03848738142,790.3074152713199,41.32981839484476,32.04452255418864,6.006944444444445,175222.22,88000.0,470000.0,162500.0,72474.97,6308000.0,36.0,186378.76148896714,93603.03168758567,499925.28287687805,172846.50737764398,6709635.498696482,4.094952498551017
37063002016,3456,35134.0,31015,50156,39228,1152,1424,3202,179,16927,718,244900,37371.01040126858,53349.47337866531,32989.75031580079,41725.678716370574,18004.75587927003,260492.98250329238,763.7156449055285,41.2037037037037,33.33333333333333,5.590256089943786,178200.0,77500.0,220000.0,203000.0,59317.58,891000.0,5.0,189546.139167361,82434.48813395329,234007.57921896418,215925.17537022603,947730.6958368049,5.777878977628508
37063002017,4880,76590.0,76875,75872,89943,522,3727,3238,128,58846,1058,318700,81466.54769263849,80702.83204773295,81769.69387480851,95669.74408041498,62592.77275781439,338991.88862310856,1125.3637218802915,76.37295081967214,10.696721311475411,3.953057442865967,307470.41,12500.0,610000.0,311000.0,88208.52,32899334.0,107.0,327047.30147982907,13295.885182895692,648839.1969253097,330801.62335044483,34994061.39661892,4.060582321451887
37063002018,5586,68707.0,48071,84722,28992,615,3962,4140,159,34293,875,333300,73081.63066089715,90116.31875722311,51131.71973015831,30837.94425780095,36476.46324616336,354521.4825167307,930.7119628026984,70.92731829573935,11.009667024704619,3.8405797101449277,370674.31,30000.0,1475000.0,319500.0,213323.86,40403500.0,109.0,394275.44528072677,31910.12443894966,1568914.4515816916,339842.82527481386,42976023.75897009,4.650181204244109
37063002019,3266,54893.0,35543,72250,43365,238,2464,2571,64,20857,923,259600,58388.08202757546,76850.2163571371,37806.051764452925,46126.084876501736,22184.982180772437,276128.9434783777,981.7681619050179,75.44396815676669,7.287201469687692,2.4893037728510308,353952.38,51500.0,789000.0,316000.0,175919.18,14866000.0,42.0,376488.81637541327,54779.046953530255,839236.2727443761,336119.9774236031,15812530.33031419,5.756653853861148
37063002020,4166,124467.0,124712,131979,87045,235,3427,3427,106,163124.9844,915,320700,132391.91528475826,140382.21044427124,132652.514634343,92587.22605961244,173511.28504352405,341119.23025237187,973.2587953879647,82.26116178588573,5.640902544407105,3.0930843303180624,352261.13,3500.0,2017000.0,327000.0,153561.29,84190411.0,239.0,374689.88311016746,3722.8478512107936,2145424.0331120486,347820.3563845513,89550883.05254388,2.6272023909952034
37063002021,3189,45951.0,37151,67758,19882,375,2162,2830,215,24249.87305,785,217400,48876.7376031392,72072.2070578117,39516.43443438063,21147.90313650657,25793.882221807722,231242.03510092187,834.9815894858494,67.79554719347757,11.759172154280337,7.597173144876325,242030.52,78000.0,357000.0,266000.0,71258.84,7987007.0,33.0,257440.80037412315,82966.32354126911,379730.48082350096,282936.43669202033,8495546.242158733,5.788774999455942
37063002022,3488,51441.0,37409,69904,54469,399,2092,3009,291,63750,821,196700,54716.29037546698,74354.84462601124,39790.86150455559,57937.08560217164,67809.01443276803,209224.0492380466,873.273738812589,59.977064220183486,11.439220183486238,9.67098703888335,201531.82,40000.0,313000.0,196000.0,44459.65,13099568.0,65.0,214363.51515360014,42546.83258526622,332928.96497970814,208479.47966780444,13933628.165882764,3.810190315118291
37063002023,2062,63493.0,41950,87868,113625,170,1385,1907,107,28954,774,226900,67535.65103340769,93462.62714005429,44620.99067379794,120859.59631252184,30797.52476684495,241346.9078399226,823.2812105249012,67.16779825412222,8.244422890397672,5.610907184058731,220474.36,57500.0,325000.0,209000.0,46621.09,8598500.0,39.0,234512.14210659283,61161.07184132018,345693.01475528796,222307.20025801598,9145973.499610288,3.291701447403651
37063002024,4538,91205.0,93295,82472,99643,317,3617,4000,150,123000,990,193500,97012.09664848013,87723.05942430189,99235.16865106029,105987.35098234203,130831.51019969361,205820.30263122532,1053.0341064853387,79.70471573380344,6.985456148082855,3.75,203315.96,99000.0,367000.0,207000.0,43707.7,23787967.0,117.0,216261.25280081705,105303.41064853389,390367.18896981754,220179.85862875267,25302566.237320933,2.2696124116002414
37063002025,3965,63082.0,58308,82850,46917,720,2315,3928,254,80096,738,181100,67098.48232859408,88125.12699223265,62020.51785954256,49904.243610073376,85195.77756873707,192630.78452979279,784.9890611981616,58.38587641866331,18.15889029003783,6.4663951120162935,189665.53,5000.0,525000.0,187500.0,60823.14,27691167.0,146.0,201741.68880264467,5318.354073158277,558427.1776816191,199438.27774343538,29454286.16099121,2.9723217399575157
37063002026,3198,41167.0,36955,49375,47500,1219,1130,3102,242,-999,723,133700,43788.13642594135,52518.74647243798,39307.954954712826,50524.36369500363,-1062.6071438170236,142212.78791625233,769.0339989786868,35.33458411507192,38.117573483427144,7.801418439716312,121285.3,10000.0,266000.0,110090.5,64891.72,4851412.0,40.0,129007.63385384472,10636.708146316554,282936.43669202033,117100.05181820625,5160305.354153789,2.6742415041173757
37063002027,4676,48155.0,28406,49093,45833,1190,2700,4476,229,103235.1719,733,177400,51221.06807858736,52218.791302711856,30214.6331604268,48751.22444701266,109808.23939351198,188695.20251565566,779.6707071250033,57.74165953806673,25.449101796407188,5.116175156389634,188602.62,42011.0,314800.0,195500.0,48074.35,15842620.0,84.0,200611.10245706452,44685.87459349047,334843.5724460451,207947.64426048863,16851332.521299757,4.059806873637213
37063002028,4188,63039.0,59911,77945,55583,432,2773,4246,419,76250,881,183800,67052.74448356492,82907.82164646438,63725.5821753971,59122.0148896713,81104.89961566371,195502.69572929826,937.0939876904883,66.21298949379178,10.315186246418339,9.868111163447951,230561.27,75100.0,560143.0,229000.0,81446.38,13833676.0,60.0,245241.29388340903,79881.67817883732,595807.7611202194,243580.61655064908,14714477.42027038,3.6326718380684975
37063002100,7416,93246.0,78981,94759,14688,3269,2007,3214,121,87426,733,236800,99183.04878114334,100792.38272368103,84009.78461042276,15623.196925309754,92992.4846399871,251877.248904776,779.6707071250033,27.063106796116504,44.08036677454153,3.764779091474798,281050.49,5000.0,875000.0,270000.0,155203.66,17144080.0,61.0,298945.2036509259,5318.354073158277,930711.9628026985,287191.11995054694,18235657.53971027,2.895566565858053
37063002200,1094,46211.0,16500,56583,36555,224,700,1078,73,101375,1014,202600,49153.29201494343,60185.68570430295,17550.568441422314,38882.48662886016,107829.62883328406,215499.70704437338,1078.5622060364985,63.98537477148081,20.47531992687386,6.771799628942486,142490.0,10500.0,497000.0,104700.0,140853.55,1424900.0,10.0,151562.45437686457,11168.543553632382,528644.3948719327,111366.33429193431,1515624.5437686457,2.265694315206336
37063002300,916,16694.0,15887,23056,18750,661,54,349,57,-999,432,94300,17756.920579460853,24523.994302147446,16898.53823205311,19943.82777434354,-1062.6071438170236,100304.1578197651,459.50579192087514,5.895196506550218,72.16157205240175,16.332378223495702,54835.83,3550.0,104500.0,51990.0,37666.8,658030.0,12.0,58327.27196710297,3776.0313919423766,111153.60012900799,55300.24565269976,699927.3061520682,3.11429256020127
37063980100,78,74531.0,-999,74531,-999,23,24,78,24,-999,-999,68100,79276.44948531191,79276.44948531191,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,72435.98247641572,-1062.6071438170236,30.76923076923077,29.48717948717949,30.76923076923077,,,,,,,,,,,,,
